"","total_barcodes","trnL_barcodes","ITIS_Family","BRU_Family","genus","scientificName","year","country","stateProvince","occurrenceID","catalogNumber"
"420",6,0,"Hydrophyllaceae","Hydrophyllaceae","Phacelia","Phacelia sericea",1864,"United States of America","Illinois","a68dbd1c-83e5-4a95-9d5e-132a07ad7f57","PBRU00045408"
"423",6,0,"Hydrophyllaceae","Hydrophyllaceae","Phacelia","Phacelia sericea",1862,"United States of America","Colorado","7e3d6ac7-0d59-4b16-99e9-40cac1942710","PBRU00045406"
"426",6,0,"Hydrophyllaceae","Hydrophyllaceae","Phacelia","Phacelia sericea",1862,"United States of America","Colorado","e0fa607e-1132-40ff-b037-22c1b0f9a9ef","PBRU00045413"
"427",6,0,"Hydrophyllaceae","Boraginaceae","Phacelia","Phacelia sericea",1861,"United States of America","Colorado","61d2c9f4-f400-41e0-b187-121251889302","PBRU00045412"
"444",6,0,"Hydrophyllaceae","Hydrophyllaceae","Ellisia","Ellisia nyctelea",NA,"United States of America","Illinois","258d74a1-4eb2-404b-a0cc-c87bb78bd625","PBRU00042214"
"447",6,0,"Hydrophyllaceae","Hydrophyllaceae","Ellisia","Ellisia nyctelea",NA,"United States of America","Wisconsin","6b398bd2-1d9f-4f45-bbf4-640f31f4b264","PBRU00042126"
"453",6,0,"Hydrophyllaceae","Boraginaceae","Hydrophyllum","Hydrophyllum capitatum",NA,"United States of America","Oregon","32a6611e-7927-4cb5-9d43-eb3c2810363a","PBRU00045629"
"475",6,0,"Hydrophyllaceae","Hydrophyllaceae","Phacelia","Phacelia franklinii",NA,"","","0b9288d7-a46e-417a-9435-bdd43efdb522","PBRU00043296"
"497",6,0,"Sarcobataceae","Sarcobataceae","Sarcobatus","Sarcobatus vermiculatus",1935,"United States of America","Nevada","575f04d5-52de-43ac-82ad-16becf042e54","PBRU00040162"
"498",6,0,"Sarcobataceae","Sarcobataceae","Sarcobatus","Sarcobatus vermiculatus",1868,"United States of America","Colorado","14e630db-74a9-4914-86e4-7b6e83513459","PBRU00040163"
"499",6,0,"Sarcobataceae","Sarcobataceae","Sarcobatus","Sarcobatus vermiculatus",1866,"United States of America","California","3a8446c4-c002-4245-a7a5-29f1f254881b","PBRU00040164"
"620",14,0,"Valerianaceae","Valerianaceae","Valeriana","Valeriana dioica",1903,"United States of America","Washington","f7da6307-dfe9-4c53-863c-e56d31e9b305","PBRU00006135"
"635",14,0,"Valerianaceae","Valerianaceae","Valeriana","Valeriana edulis",1896,"United States of America","Idaho","18a12521-ef71-4fe3-bc5d-d5c41f2779b8","PBRU00006141"
"636",14,0,"Valerianaceae","Valerianaceae","Valeriana","Valeriana occidentalis",1896,"United States of America","Idaho","67123da9-2b4f-4049-815b-ba158e02c1da","PBRU00006148"
"646",14,0,"Valerianaceae","Valerianaceae","Valeriana","Valeriana edulis",1874,"United States of America","Illinois","89f68e1d-e7cf-41a0-9f06-b4d912d8ebae","PBRU00006143"
"648",14,0,"Valerianaceae","Valerianaceae","Valeriana","Valeriana dioica",1872,"United States of America","Colorado","89f24419-a665-47e9-a004-ded57f972e6a","PBRU00006136"
"652",14,0,"Valerianaceae","Valerianaceae","Valeriana","Valeriana edulis",1869,"United States of America","Utah","30e09faa-a6cb-4729-b8ba-c823036901f3","PBRU00006144"
"653",14,0,"Valerianaceae","Valerianaceae","Valeriana","Valeriana dioica",1869,"United States of America","Utah","868f757d-9461-4f15-84c8-8c012a68ed4e","PBRU00006168"
"655",14,0,"Valerianaceae","Valerianaceae","Valeriana","Valeriana dioica",1866,"United States of America","California","44985546-ca31-4823-b329-f965455c329d","PBRU00006137"
"656",14,0,"Valerianaceae","Valerianaceae","Valeriana","Valeriana dioica",1862,"United States of America","Colorado","794e5a8b-69c8-48af-aa6c-9f049e0ae965","PBRU00006139"
"664",14,0,"Valerianaceae","Valerianaceae","Valeriana","Valeriana edulis",NA,"United States of America","Wisconsin","3b4f447b-2486-477b-ac30-a745968309cc","PBRU00006146"
"670",14,0,"Valerianaceae","Valerianaceae","Valeriana","Valeriana edulis",NA,"United States of America","Nevada","cdbc5dcc-8bbd-426e-af05-370554e45bd3","PBRU00006140"
"672",14,0,"Valerianaceae","Valerianaceae","Valeriana","Valeriana edulis",NA,"United States of America","Illinois","e9042a1a-81f8-42c4-817b-e3d9bdb3ebc8","PBRU00006145"
"673",14,0,"Valerianaceae","Valerianaceae","Valeriana","Valeriana edulis",NA,"United States of America","Michigan","ec3b8598-92f7-4fb3-8e7c-8e3792d80001","PBRU00006142"
"756",37,1,"Scheuchzeriaceae","Scheuchzeriaceae","Scheuchzeria","Scheuchzeria palustris",2018,"United States of America","Rhode Island","cddc344f-3061-4dd8-9b56-fe9fc317dde1","PBRU00070337"
"757",37,1,"Scheuchzeriaceae","Scheuchzeriaceae","Scheuchzeria","Scheuchzeria palustris",2016,"United States of America","Minnesota","67950f4c-7978-4b0b-a16b-8f7f23ff971a","PBRU00058308"
"758",37,1,"Scheuchzeriaceae","Scheuchzeriaceae","Scheuchzeria","Scheuchzeria palustris",2015,"United States of America","Minnesota","d59dbdb9-cf0b-4b8a-bccf-9aa5fecf72ec","PBRU00050397"
"759",37,1,"Scheuchzeriaceae","Scheuchzeriaceae","Scheuchzeria","Scheuchzeria palustris",1900,"Canada","Ontario","078b7b4f-87a3-4321-9bfe-3478c0f0f3ba","PBRU00006586"
"760",37,1,"Scheuchzeriaceae","Scheuchzeriaceae","Scheuchzeria","Scheuchzeria palustris",1899,"United States of America","Maine","81274294-6824-45ab-8854-a1b00dcc0ca5","PBRU00006590"
"761",37,1,"Scheuchzeriaceae","Scheuchzeriaceae","Scheuchzeria","Scheuchzeria palustris",1878,"United States of America","New York","7bb65e4a-bbe1-414e-b593-59f4c9c88158","PBRU00006585"
"762",37,1,"Scheuchzeriaceae","Scheuchzeriaceae","Scheuchzeria","Scheuchzeria palustris",1853,"Germany","Berlin (State)","b8127d6e-bc6b-404c-bd27-8ab920abd5bb","PBRU00054576"
"763",37,1,"Scheuchzeriaceae","Scheuchzeriaceae","Scheuchzeria","Scheuchzeria palustris",1848,"United States of America","Rhode Island","0f4894cb-0fd5-4b0d-9a7f-252651cae9c5","PBRU00006584"
"764",37,1,"Scheuchzeriaceae","Scheuchzeriaceae","Scheuchzeria","Scheuchzeria palustris",1848,"United States of America","Rhode Island","4cb53a82-9d52-4a65-86a8-24c3cc2909c8","PBRU00006589"
"765",37,1,"Scheuchzeriaceae","Scheuchzeriaceae","Scheuchzeria","Scheuchzeria palustris",1842,"United Kingdom of Great Britain and Northern Ireland","","b36cd5db-6e32-43d4-9127-a1f3b69d153c","PBRU00054573"
"766",37,1,"Scheuchzeriaceae","Scheuchzeriaceae","Scheuchzeria","Scheuchzeria palustris",1841,"United Kingdom of Great Britain and Northern Ireland","","b4409139-7b78-420b-9b6f-be85ae7379ac","PBRU00054575"
"767",37,1,"Scheuchzeriaceae","Scheuchzeriaceae","Scheuchzeria","Scheuchzeria palustris",NA,"Finland","","3a6928da-e25f-41b1-a0ca-a64ac2390e11","PBRU00054574"
